Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Bed Type;Security Deposit;Cleaning Fee;Guests Included;Extra People;Cancellation Policy;Price;Amenities Count;Security Deposit Mandatory
Argüelles;Moncloa - Aravaca;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;2;22.0;4;0
Simancas;San Blas - Canillejas;Apartment;Entire home/apt;5;2.0;1.0;Real Bed;200.0;30.0;2;8;2;75.0;19;1
Universidad;Centro;Apartment;Entire home/apt;4;2.0;1.0;Real Bed;250.0;10.0;2;5;2;99.0;20;1
Cortes;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;15.0;1;0;1;55.0;14;0
Cortes;Centro;Apartment;Private room;4;1.0;1.0;Real Bed;0.0;20.0;2;15;2;40.0;8;0
Palacio;Centro;Apartment;Entire home/apt;3;1.0;0.0;Real Bed;150.0;30.0;2;15;2;80.0;21;1
Cortes;Centro;Apartment;Entire home/apt;5;2.0;2.0;Real Bed;100.0;40.0;4;15;2;85.0;16;1
Almagro;Chamberí;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;50.0;1;0;0;140.0;21;0
Embajadores;Centro;Bed & Breakfast;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;25.0;8;0
Lista;Salamanca;Apartment;Private room;2;1.0;1.0;Real Bed;100.0;40.0;1;15;2;29.0;11;1
Puerta del Angel;Latina;Bed & Breakfast;Private room;4;1.0;2.0;Real Bed;0.0;0.0;2;5;2;24.0;22;0
Sol;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;0.0;30.0;2;10;2;115.0;11;0
Comillas;Carabanchel;Bed & Breakfast;Private room;3;1.0;1.0;Real Bed;0.0;0.0;1;10;0;25.0;18;0
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;200.0;30.0;2;5;2;35.0;12;1
Ciudad Universitaria;Moncloa - Aravaca;Villa;Entire home/apt;4;1.5;3.0;Real Bed;0.0;0.0;1;0;1;150.0;11;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;10.0;2;10;1;50.0;19;0
Cortes;Centro;Apartment;Entire home/apt;12;2.0;4.0;Real Bed;200.0;40.0;6;10;2;245.0;11;1
Opañel;Carabanchel;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;20.0;1;0;1;20.0;12;0
Cuatro Caminos;Tetuán;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;200.0;40.0;1;20;2;95.0;13;1
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;0;2;30.0;10;0
Embajadores;Centro;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;10.0;1;15;1;34.0;18;0
Bellas Vistas;Tetuán;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;30.0;1;15;1;39.0;15;1
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;2.0;Real Bed;0.0;10.0;1;10;1;50.0;15;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;20.0;2;10;2;50.0;12;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;2.0;Pull-out Sofa;0.0;30.0;1;0;1;71.0;16;0
Cortes;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;500.0;30.0;1;0;2;50.0;9;1
Canillas;Hortaleza;Apartment;Private room;3;2.0;1.0;Real Bed;0.0;0.0;1;25;0;24.0;22;0
Ibiza;Retiro;Apartment;Entire home/apt;6;2.0;2.0;Real Bed;150.0;40.0;1;10;2;150.0;18;1
Embajadores;Centro;House;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;39.0;10;0
Palacio;Centro;Apartment;Private room;1;3.0;1.0;Real Bed;200.0;30.0;1;0;2;31.0;9;1
Trafalgar;Chamberí;Apartment;Entire home/apt;8;3.5;4.0;Real Bed;700.0;180.0;6;0;2;280.0;15;1
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;25.0;2;15;2;70.0;15;1
Palacio;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;0.0;1;0;2;77.0;9;0
Embajadores;Centro;Apartment;Private room;1;2.0;1.0;Real Bed;200.0;30.0;1;0;2;31.0;9;1
Universidad;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;30.0;11;0
Sol;Centro;Apartment;Entire home/apt;7;2.0;2.0;Real Bed;0.0;0.0;5;5;2;89.0;16;0
Recoletos;Salamanca;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;99.0;13;0
Palacio;Centro;Apartment;Entire home/apt;5;1.0;3.0;Real Bed;469.0;174.0;2;14;2;230.0;24;1
Pacífico;Retiro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;15.0;1;0;2;28.0;0;0
Arcos;San Blas - Canillejas;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;7;0;15.0;20;0
Trafalgar;Chamberí;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;1;20.0;7;0
